A	工	著	其	或	革	基	式	期	區
B	了	也	子	及	取	隊	階	聯	際
C	以	能	又	通	務	馬	驗	參	態
D	在	大	成	髮	而	長	原	百	確
E	有	用	學	力	加	與	月	爭	受
F	地	十	都	二	起	電	去	者	老
G	一	到	于	下	理	現	兩	天	事
H	上	瞭	齣	些	此	見	處	鬥	目
I	不	法	浬	小	當	水	沒	黨	活
J	是	暸	時	量	日	明	最	題	果
K	中	噹	員	品	路	別	戰	口	喫
L	国	國	點	還	四	因	數	繫	迴
M	同	過	體	由	內	山	農	則	週
N	民	那	性	心	情	已	展	將	必
O	为	對	度	業	應	料	廣	類	米
P	这	定	之	裡	實	社	祇	衹	軍
Q	我	多	然	外	名	錶	解	象	金
R	的	年	后	所	把	製	反	看	無
S	要	來	可	麵	本	樣	機	相	西
T	和	箇	生	動	行	種	得	等	自
U	产	部	開	前	閤	義	關	新	間
V	发	如	好	妳	建	九	她	即	群
W	人	個	他	們	作	會	分	發	進
X	经	經	比	線	嚮	結	總	級	組
Y	主	這	為	就	說	產	方	高	變
