AA	式	葉	藍	芽	戒	盞	戔	匿	苷
AB	工	薩	芭	其	功	著	七	牙	匯
AC	茅	苔	蕷	匥	芆	芧	荾	葇	葈
AD	基	期	斯	項	苦	甚	若	藏	欺
AE	散	菜	茄	荔	藐	荽	苴	菔	萸
AF	藝	某	蓋	甘	蒜	蕾	薔	荸	蕓
AG	華	黃	巧	戈	薑	莖	葬	荊	廿
AH	緊	堅	鹽	臨	監	臣	鑒	熙	雅
AI	落	薄	蕩	茫	萍	蔆	蒲	藩	汞
AJ	萬	草	莫	幕	邁	墓	萌	慕	葛
AK	革	區	觀	難	韆	歡	鞦	歐	勒
AL	菌	夢	蓮	蘿	茵	匣	茴	蒽	藪
AM	英	貢	繭	匝	芮	苒	萵	萜	苘
AN	巨	莊	蔣	芯	蔬	蔚	蕊	蘗	葦
AO	蓆	薦	蘑	蘼	炗	苂	菧	菮	菼
AP	芝	蓉	萱	蓿	莞	蔻	苧	菅	菪
AQ	蘇	驚	警	蔔	敬	葡	匹	萄	菊
AR	蒐	匠	艾	蕪	芹	蔸	葩	茱	菝
AS	苯	萊	蘸	蕈	茜	菥	菘	葙	艼
AT	醫	董	蓬	蔥	萎	莉	薇	蕃	芊
AU	蔽	茨	薪	蒴	菩	蒺	藺	蘢	薏
AV	蕭	菇	茹	薅	苕	藎	茛	蕁	艽
AW	花	舊	茶	荷	恐	鞏	蒼	芬	蔡
AX	蘊	茲	薌	莼	芎	芘	荮	蒈	葒
AY	荒	蓄	蒂	芒	藷	弋	藹	萃	蒿
BA	聀	聝	陿	隁	防范措施	聚苯乙烯	防范工作	出其不意	限期完成
BB	子	耶	孕	聶	顳	陬	孖	孨	孴
BC	取	聚	盈	娶	鄹	戤	埾	夃	孡
BD	隨	承	陜	陝	陌	隋	阨	墮	隳
BE	隱	阻	隉	檃	櫽	聣	阞	隠	阻止
BF	陸	陵	陡	阮	孺	阱	耺	聐	聴
BG	陳	聽	耳	隔	陋	陘	阢	孒	孲
BH	阯	陂	陟	鼐	阽	蚩	騭	屮	妛
BI	函	隙	丞	尕	巹	氶	烝	脀	阥
BJ	陽	隄	隅	隰	刵	(	)	[	]
BK	聖	亟	隕	聵	凾	叾	焏	隤	亟待
BL	陣	孟	隈	勐	塦	盁	孟子	孟津	除四害
BM	祟	聘	糶	聃	孭	孾	欪	耼	隑
BN	也	孔	恥	孑	卩	阝	凵	孞	巜
BO	耿	褧	阦	隣	隣	出席了	耿直	出席人	防火牆
BP	院	耽	陀	迆	聹	孮	聜	聢	聺
BQ	陷	陶	聊	孢	聎	聦	聸	阺	陊
BR	孤	阪	隍	隗	陴	聛	聭	陎	阿拉伯
BS	阿	耵	刴	娿	朶	陻	▁	▂	▃
BT	降	陞	孫	隆	聰	遜	孜	阡	陲
BU	職	隊	障	陪	隘	墜	隴	隧	聠
BV	限	孻	隟	限制	限期	限于	限定	限度	限量
BW	際	除	附	險	陰	聆	耹	聁	聄
BX	陛	階	聯	乸	墬	聈	聨	聫	聮
BY	及	防	孩	陔	孓	卪	埅	聤	阬
CA	弁	鴘	巴勒斯坦	巴基斯坦	能工巧匠	參觀了	駐華大使	駐華使館	駐華使節
CB	牟取暴利	牟取私利	預防為主	馬耳他					
CC	又	參	桑	顙	毿	亝	剟	剼	厸
CD	畚	奙	貵	軬	能不能	巴不得	馬克思主義	馬克思	馬克思列寧主義
CE	能	通	態	勇	熊	恿	甬	勈	熋
CF	頚	圣地	圣火	圣洁	圣人	圣母	圣母	圣明	圣旨
CG	驲	骃	骉	骍	骎	骔	骕	骙	骦
CH	覌	能上能下	台上台下	預處理	預見性	能見度	勇鬥歹徒	騎虎難下	
CI	厼	能源部	通常的	台港澳	能源危机	能源工業	能源建設	能源供應	能源危機
CJ	巴里坤	參照物	參照實行						
CK	邰	怠	炱	迨	乨	刣	巼	枲	瓵
CL	圅	駁回上訴	騙買騙賣						
CM	岊	貟	贠	通過了	通過鑒定	通過學習	通過決議	通過討論	
CN	巴	務	預	矛	予	柔	豫	矜	婺
CO	馬	驗	駐	驅	騙	驟	駛	騎	馳
CP	參賽者	通宵達旦	參軍入伍	務實效	參審製度				
CQ	允	允許	允諾	馳名中外	巴解組織	駐外使館	馳名世界	驗鈔機	驟然增多
CR	巴拉圭	矛盾激化	馬拉松	勇挑重擔	馬拉松比賽	矛盾加劇			
CS	勇攀高峰	能歌善舞	台柱子	巴林右旗	巴林左旗	馬來西亞	通欄標題	通權達變	
CT	矣	牟	劺	欸	逘	鴾	牟利	勇往直前	牟平
CU	巴音郭楞	勇斗歹徒	參差不齊	馬前卒					
CV	驕嬌二氣								
CW	皴	逡	夋	鳮	鵕	通信网	通俗易懂	通信工程	通信地址
CX	又紅又專	通緝令							
CY	蚤	叉子	能文能武	叉腰	通訊員	參議院	參謀長	通訊系統	通訊社
DA	左	勵	厲	砌	砸	磺	碟	礡	砑
DB	耷	矷	砐	頋	有限公司	有限的	原子能	不了解	布隆迪
DC	友	髮	鬚	鬆	鬍	雄	碼	肆	髯
DD	大	套	碩	磊	礪	硤	厐	厖	夶
DE	有	長	憂	硼	夯	鶘	劯	奟	戞
DF	奔	硅	辱	奈	脣	辰	奢	奎	磕
DG	三	研	石	感	古	威	硬	磚	戌
DH	在	不	存	破	否	夏	盃	歪	慼
DI	耗	耕	砂	硝	泵	耙	耦	耘	耠
DJ	百	壓	厚	厭	奄	砷	碣	鵪	靨
DK	右	夼	厑	厛	夻	磒	磾	礹	大中型
DL	厙	硨	硘	硱	碅	碨	磥	礋	礧
DM	而	耐	碳	頁	碘	耍	碉	靦	硐
DN	成	盛	尤	臧	碾	尷	尬	嘏	尥
DO	礦	灰	盔	砿	磄	磱	礏	礯	礳
DP	確	碗	砣	碹	碇	硡	硿	碂	碦
DQ	剋	砲	砍	兢	矽	砥	磔	兙	兛
DR	原	願	硃	爽	碑	礫	斫	厒	厡
DS	礎	奇	硒	碴	剞	欹	厯	攲	敧
DT	故	曆	歷	邦	硌	砭	砟	硇	硪
DU	磁	遼	辜	厥	磋	碚	鷯	砬	劂
DV	碌	砕	硉	硍	碯	友好合作	大好事	原始森林	不好意思
DW	春	奪	奮	秦	泰	夾	奏	奉	礁
DX	礙	戊	砩	砒	磯	砪	詟		砒霜
DY	太	硫	碎	丈	犬	磅	飆	戍	碲
EA	臟	膜	貓	膩	朦	肛	胨	貘	舁
EB	服	乳	孚	郛	嗠	朏	肔	貀	鵩
EC	肥	亂	辭	胎	朘	肞	腏	腬	蜰
ED	須	脹	胚	肱	肽	胯	貊	腠	夓
EE	月	朋	脅	鵬	肋	舀	勰	腴	脬
EF	毀	肚	膨	肝	肢	脖	肘	豺	虢
EG	且	與	舉	助	譽	肺	膊	脯	腈
EH	用	覓	腓	臚	叟	胩	丯	胋	臄
EI	膛	盥	胱	脳	膌	加油站	肺活量	盥洗	盥洗
EJ	腸	腥	貍	刖	胂	腂	腢	蠫	貋
EK	加	架	賀	駕	迦	臊	哿	袈	腭
EL	舅	輿	爵	腮	胭	胛	膃	腘	腲
EM	興	釁	膿	腆	爨	肭	胴	腡	璺
EN	力	膠	鼠	甩	鼴	脲	鼷	鼯	鼢
EO	腑	脒	膦	臁	毇	腅	膅	膔	臕
EP	愛	受	腔	胺	腕	舜	腚	臏	腙
EQ	胸	兒	胞	膽	脆	豹	朐	舄	肷
ER	貌	學	覺	脈	脾	腺	繇	鷂	邈
ES	腰	膝	膘	胢	采用	采取	彩色	采集	彩虹
ET	腹	腫	胳	貉	臼	豸	貔	彡	胙
EU	騰	勝	賸	胖	朧	膳	臆	滕	媵
EV	妥	爭	腦	腿	臘	墾	懇	貂	腱
EW	腳	脫	臉	股	肌	膾	臾	腧	胗
EX	脂	雞	谿	奚	乿	肶	胇	胟	腞
