aa	工	式	芽	戒	匿	苷	葚	甙	苣
ab	节	蒸	萨	荫	茸	荪	茁	菡	邛
ac	芭	茅	茎	苔	蓣	节能降耗	节能型	茅草	茅台酒
ad	其	基	期	斯	项	苦	甚	若	藏
ae	功	苏	散	菜	藤	茄	荔	藐	荽
af	著	某	甘	菱	蒜	芜	蕾	苇	蔷
ag	七	巧	戈	莱	苹	葬	荆	廿	芋
ah	牙	臣	熙	雅	卧	菲	鸦	匪	邪
ai	东	落	范	薄	荡	茫	萍	蒲	藩
aj	划	草	莫	蓝	幕	墓	萌	慕	葛
ak	或	革	勒	勤	鞋	燕	鞭	惑	鞲
al	苗	菌	莲	蔑	萝	薯	茵	匣	茴
am	黄	英	贡	匝	芮	苋	苒	萜	苘
an	世	艺	巨	芯	蔬	蔚	蕊	贳	忒
ao	蔗	蘑	薮	蘼	蒌	工业化	工业企业	营业额	工业总产值
ap	劳	营	荣	蒙	芝	蓉	荧	萱	莹
aq	获	警	敬	葡	匹	萄	菊	葱	苟
ar	区	欧	匠	艾	芹	殴	瓯	蔸	鸥
as	苛	苯	蘸	蕈	茜	菥	菘	葙	基本上
at	攻	医	董	蓬	萎	尧	莉	翘	薇
au	蒋	蔽	茨	薪	蒴	菩	蒺	蔺	蕲
av	切	萧	菇	茹	薅	苕	茛	荨	艽
aw	共	花	茶	荷	恐	巩	苍	芬	蔡
ax	药	蕴	芗	荜	莼	芎	芘	荮	荭
ay	芳	荒	蓄	芦	蒂	芒	弋	蔼	萃
ba	陈	陈旧	陈列	职工队伍	陈述	除草剂	职工工资	防范措施	职工收入
bb	子	耶	孕	陬	孩子们	子女	子孙	孕育	子宫
bc	取	聚	盈	聂	娶	颞	陉	鄹	戤
bd	随	承	陌	隋	堕	陇	隳	随着	承担
be	阴	阻	阻碍	阻止	阻力	阴影	阻塞	承受能力	孟加拉
bf	际	陵	陡	阮	孺	阱	％	‰	降雨量
bg	卫	陆	耳	隔	陕	陋	阢	═	║
bh	耻	陂	陟	鼐	阽	蚩	骘	屮	除此之外
bi	孙	函	隙	逊	丞	尕	卺	也没有	函授
bj	阳	隅	陧	隰	(	)	[	]	{
bk	职	亟	陨	聩	职工	职业	职务	职能	职责
bl	阵	孟	隈	勐	阵地	阵容	阵营	阵线	阵雨
bm	出	祟	聘	粜	聃	出现	出版	出口	出来
bn	也	了	孔	乃	孑	卩	阝	凵	也是
bo	耿	出席了	防火墙	职业道德	职业教育	出席了会议	出席会议	联席会议	职业介绍
bp	院	辽	耽	陀	聍	院士	辽宁	院长	辽宁省
bq	隐	陷	陶	聊	孢	陶瓷	了解到	陷入	隐患
br	孤	阪	隍	隗	陴	阿拉伯	附近的	孤立	孤儿
bs	阿	耵	▁	▂	▃	▄	▅	▆	▇
bt	降	隆	孜	阡	陲	聒	阼	取得了	降低
bu	联	障	陪	聪	隘	隧	联合	联系	联想
bv	限	限制	限期	限于	限额	限定	限度	限量	了如指掌
bw	队	阶	除	附	险	坠	聆	阶段	队伍
bx	陛	联络小组	陛下	联络处	联络员	出线权	联络部	出纳员	阶级性
by	及	防	孩	陔	孓	及其	及时	孩子	防止
ca	戏	劲	巯	颈	刭	弁	迳	艰苦奋斗	巴勒斯坦
cb	邓	欢聚一堂	牟取暴利	预防为主	马耳他	邓州	双职工	牟取私利	
cc	又	双	桑	叠	垒	颡	双方	又是	又有
cd	参	畚	叁	毵	参加	参与	参数	参观	马克思主义
ce	能	通	勇	劝	熊	恿	甬	通过	能力
cf	对	圣	怼	对于	对象	对此	对话	驱动器	对外
cg	马	验	驻	驱	骗	骤	驶	骑	驰
ch	能上能下	双目失明	难上加难	台上台下	骑虎难下	覌			
ci	邓小平	邓小平理论	台湾问题	台湾同胞	台湾当局	能源部	通常的	台湾省	邓小平文选
cj	对照检查	巴里坤	参照物	参照实行					
ck	台	邰	怠	炱	迨	台湾	台阶	台北	台上
cl	双轨制	驳回上诉	双鸭山	圅					
cm	观	观念	观众	观点	观察	观测	观看	观赏	观光
cn	巴	预	矛	予	柔	豫	矜	婺	鹜
co	观摩会	观摩演出	观摩教学	遤	颿	馯	馰	馲	馵
cp	观察家	观察到	观察员	参赛者	通宵达旦	观礼台	观察力	观察站	参军入伍
cq	允	欢	鸡	欢迎	允许	对外开放	欢乐	对外贸易	鸡蛋
cr	观看了	马拉松	对抗赛	欢欣鼓舞	巴拉圭	通报批评	矛盾激化	勇挑重担	对抗性
cs	勇攀高峰	欢歌笑语	能歌善舞	巴林右旗	通栏标题	巴林左旗	通权达变		
ct	矣	牟	难得的	预备役	通知书	预算外资金	通行证	双向选择	预处理
cu	参差不齐	对症下药	对冲基金	对立面	对立统一	巴音郭楞	勇斗歹徒	欢送仪式	巴彦淖尔盟
