AAA	工	菚	葡萄牙	工期	工匠	恭恭敬敬	花花世界	工藝	工區
AAB	戒除	葉子	工薪階層	艱難險阻	工聯				
AAD	匿	匞	葚	慝	萁	茙	藄	蘛	工厂
AAE	勤勤懇懇								
AAF	苷	甙	工地	工夫	蓬蓬勃勃	工場	歡歡喜喜	葉城	帶菌者
AAG	戒毒	工整	工事	藍天	艱苦環境	工頭	䒰		
AAH	芽	藍	茝	茞	菣	蕥	藖	虦	工具
AAI	工党	落花流水	工黨	工藝流程	工藝水平	臥薪嘗膽	萬萬沒有想到	欺世盜名	區區小事
AAJ	剗	蒸蒸日上	工日	工時	蘊藏量				
AAK	戒	蓲	蓳	蘜	工藝品	攻堅戰	戒嚴	匿蹟	蘇共中央
AAL	盞	藍圖	緊緊圍繞	艱難困苦	藍田	緊緊團結			
AAM	蘣	蘳	歐共體	工農	艱難曲折	藍山	工賊	䔈	
AAN	葉	苣	戒心	艱巨性	工裝	萌芽狀態	草草收場		
AAO	工序	工業	工廠	戒煙					
AAP	工運	切切實實							
AAQ	苉	蔕	匿名	茫茫然	藍色	工貿	工錢		
AAR	芭蕾舞	熙熙攘攘	戒指	工兵	戒掉	苦苦探索	艱巨的	緊緊抓住	蓋世無雙
AAS	工棚	工本	式樣	艱苦樸素	藍本				
AAT	蘙	工程	莫斯科	工委	工种	工科	戒律	葉片	醫藥衛生
AAU	戔	工資	工藝美術	工藝美術品					
AAV	苆	艱苦努力							
AAW	匶	茿	莁	蒆	工作	工人	工件	世世代代	工段
AAX	警戒線	花花綠綠	蒙蒙細雨	緊緊張張					
AAY	式	芅	工商	工效	工交	蒙蒙亮	苦苦哀求	工讀	
ABA	若隱若現								
ABC	菆	萾	藂						
ABD	䔺								
ABE	蘟	薩迦	臨陣脫逃						
ABF	茸	芓	䔖						
ABG	蔯	歡聚一堂							
ABH	邛	卭	匩						
ABI	蒸	菡	蒸汽	䒱	䕄				
ABK	莻	藬	䓧						
ABL	䓝								
ABM	茁	邛崍	䔜	䔴					
ABN	芤	茁壯							
ABO	臨陣磨槍								
ABR	艿	菰	蒸气	蒸氣	㧭				
ABT	蓀	蕯	㲨	䕖					
ABU	薩	蘵	䔒	䔹					
ABV	匜								
ABW	蔭	蒢	蒸發	蒸餾	萬隆會議	䕃			
ABY	芨	巧取豪奪							
ACA	匥	茅草	芭蕉	醫務工作者	戒驕戒躁	苔蘚	䒪		
ACB	芭								
ACC	蔘	茅台							
ACD	英勇奮鬥	萬馬奔騰							
ACE	蓪								
ACF	茅臺								
ACG	戎馬一生	㦯							
ACH	英勇獻身	英勇鬥爭							
ACI	茅台酒	七台河							
ACK	苔	葈	勤務員	䕂					
ACL	䓿								
ACN	茅	蕷	芧	葇	蓩	鶜	茅屋	欺騙性	䓮
ACO	世態炎涼	䔍							
ACP	醫務室								
ACR	勤務兵								
ACS	難能可貴	難能可貴的是							
ACT	戎馬生涯	英勇行為							
ACU	英勇善戰								
ACW	荾	醫務人員							
ACY	芆	茅房	萬馬齊喑						
ADA	蔵	苦苦	苦功	藏匿	苦工	葫蘆	巨大貢獻	苦難	基礎工程
ADB	苊	期限	巨大障礙						
ADC	蕻	茇	苃	蕼	欺騙	戎馬			
ADD	藞	巨大成就	基石	茂盛	牙克石	英雄有用武之地	雅而不俗	基礎	基礎研究
ADE	戎	葫	萇	巧克力	巧克力	巨大力量	藏胞	苦力	苦力
ADF	苦	萘	蓐	荂	莀	莾	基地	若干	期刊
ADG	葳	葴	甚至	基于	其一	苦于	七百万	英雄形象	惹事
ADH	茬	苤	葜	芣	蒧	蔧	期盼	藉此	基督
ADI	藉	藕	綦江	苦水	苦海	基準	勘測	期滿	巨大潛力
ADJ	菴	若是	苦果	莫不是	巨大影響				
ADK	若	惹	匲	蠚	逽	鄀	其中	藏品	期中
ADL	基因	基數	基點						
ADM	項	蕆	荋	䓴					
ADN	藏	荿	苦心	藏民	基層	基礎性	苦惱		
ADO	甚廣	基業							
ADP	荙	其它	勘察	茂密	其實	惹禍			
ADQ	基金	茂名	蒙古包	功成名就	欺負				
ADR	蒝	巨大的	勘探	其后	若有所思	莽撞	若有所失	巨大損失	英雄無用武之地
ADS	基本	勘查	切不可	英雄模范	斟酌	苦楚	期票	英雄模範	堅不可摧
ADT	藶	期待	甚微	藏身	苦笑	功成身退	其後	基礎科學	基礎知識
ADU	芖	蕨	其次	基准	欺凌	苦痛	若羌	期間	其間
ADV	基建	莫不如此	藏書	基礎建設					
ADW	基	其	期	斯	甚	欺	勘	斟	莢
ADX	茂	其母	其母	苦練	基線	期終			
ADY	莽	弎	荗	葢	期望	藏族	藏文	苦衷	甚高
AEA	功臣	散落	菜蔬	勤學苦練	難辭其咎				
AEB	菔	莩	醫學院	工學院					
AEC	萉	薍	功能						
AED	蕦	散布	莫須有	其貌不揚					
AEE	荔	蒯	荕	萠	蓞	功力	功力	功用	散架
AEF	巭	功夫	菜地	雅加達	菜場	散場	莫力達瓦達斡爾族自治		
AEG	苴	莇	萲	藇	䔕				
AEH	苚	蓃	散步						
AEI	散光	散漫	荔浦	荔波					
AEJ	薶	﨟							
AEK	茄	菜單							
AEL	醫學界	落腳點	菜園						
AEM	虋	菜農	功過	䕟					
AEN	散居	散心	散裝						
AEO	功底	功勞							
AEP	蕣	薆	藐視						
AEQ	萖	葋	蕮	功名					
AER	藐	艻	蘨	菜肴	散失	散播	散攤	䔄	
AES	菜	芝加哥	荔枝						
AET	功	㣉	散	葄	蔿	散射	功德	功勳	
AEU	蕂	虅	散開	䕨					
AEV	荽								
AEW	萸	菜价	七月份	苟且偷生	散發	菜價	散會	㔱	
AEX	蒵	功績							
AEY	功率	功效	散文	菜市	功課	散記			
AFA	蕡	甘蔗	芙蓉	甘苦	甘薯	七十七	某項	七十萬	藝苑
AFB	邯	敬老院	甘孜	匯報了	蓋子				
AFC	蓋	芰	藝能	䒧					
AFD	甘	薷	甘愿	七十三	甘願	功夫不負有心人	匹夫有責	工夫不負有心人	
AFE	蘎	敬老愛幼							
AFF	芏	蕓	葑	蕘	茥	某地	七十二	甘露	甘南
AFG	七十五	甘于	七十一	七十万	菱形	落井下石	㽍		
AFH	蒖	某些	蓋縣						
AFI	蒜	苿	英吉沙	甘洛	甘當	茅臺酒	匯報演出	䒬	
AFJ	芉	或者是	䗣						
AFK	薹	薣	薳	蘦	虂	邯鄲	匯款單	藝品	藝員
AFL	蕾	匵	藚	七十四	藝界				
AFM	貳	萳	黃埔同學會						
AFN	芌	薵	甘心	區域性	䓌				
AFO	䓇	䕋							
AFP	荸	葧	匹夫之勇	䑓					
AFQ	芫	莰	荺	著名	著錄	墓志銘	䓕		
AFR	七十年代	蓬勃的	甘泉						
AFS	某	著述	蓋樓	藝校	㽑				
AFT	著	蓍	甛	荖	某种	甘甜	甘德	藝術	某種
AFU	蓻	蕔	薘	某部	蓋章	㽐	䕮		
AFV	七十九	甘肅	著書						
AFW	芙	藝	薔	藿	爇	蓺	蕶	著作	某人
AFX	區域經濟	區域網	臨場經驗						
AFY	弍	蘾	七十六	或者說	黃土高原	甘於			
AGA	華	荊	茾	鷨	菁英	黃花	七萬	華工	萬事萬物
AGB	芚	萅	邼	黃陂	黃陵	華陰			
AGC	荎	菿	黃驊	萬事通	㦶				
AGD	菾	七大	七百	董事長	華夏	黃石	歐亞大陸	萬事大吉	
AGE	莆	劻	菁	蕤	蒪	蓫	藸	七月	巧用
AGF	芋	七十	巧干	華南	黃土	黃埔	華東地區	歡天喜地	巧幹
AGG	七一	七万	甚至于	匡正	華東	華麗	黃豆	荊棘	華表
AGH	廿	芐	蔫	卄		華縣	萬事具備		
AGI	莍	花天酒地	黃河	黃海	黃浦	華沙	黃油	華池	
AGJ	蕙	荁	莄	菄	蓴	苹果	甚至是	巧遇	華里
AGK	蔌	荳	菫	葍	蒚	藗	藾	蘁	虉
AGL	薑	萰	莆田	勤于思考	共青團	共青團中央	甚至還有	共青團員	共青團組織
AGM	黃	芾	苪	茦	莿	蓛	蓸	蔶	蕀
AGN	七	匚	匸	巧	戈	瓨	戈壁	㚽	㤍
AGO	區政府	華燈	華鎣	華府					
AGP	巧家	落到實處	葬禮	華安	華容	華寧	萬惡之源		
AGQ	葬	薤	塟	茢	蔜	薚	薞	黃金	黃色
AGR	戒毒所	巧手	匪夷所思	監理所					
AGS	茉	黃梅							
AGT	廾	七千	葬身	匡算	惹事生非	功到自然成	華爾街	黃牛	黃牌
AGU	葬送	華北	荊門	黃龍	黃羊	萬事開頭難	藥到病除	䔊	
AGV	莖	萋	萐	葘	葝	巧妙	萬事如意		
AGW	蕐	薾	巧合	華人	華僑	帶頭人	董事會	帶頭作用	七億
AGX	荑	華約	七絕	䓯					
AGY	匤	弌	某一方面	華裔	黃帝	華誕	荊州	甚至於	華商
AHA	蘆	蘧	萀	萛	蔖	藘	菲薄	菲薄	緊緊
AHB	監聽	臨陣							
AHC	賢能								
AHD	菲	匪	繤	蕜	薉	韮	堅硬	臨夏	堅貞不屈
AHE	貢獻力量	臨朐	難上加難	雅興					
AHF	芷	苜	邪教	基督教	雅趣	匪幫	鹽堿	鹽城	豎起
AHG	菽	茮	雅致	監理	邪惡	緊逼	功虧一簣	臨頭	臨死
AHH	蘋	匷	煕	荹	蕋	蘃	監督	牙齒	臨縣
AHI	芷江	雅江	臨洮	監測	堅決	緊湊	臨沂	鹽湖	臨汾
AHJ	蘋果	臨時	賢明	䓬					
AHK	熙	㐄	頤	苫	賾	媐	巸	邪路	匪患
AHL	蓾	臨界	堅固	臥車					
AHM	牙雕	鹽山	蘆山						
AHN	緊	堅	鹽	臨	監	臣	鑒	賢	覽
AHO	蔝	雅座	臨床	鹽業	臥床	緊鄰			
AHP	雅安	鑒定	監視	緊密	堅定	監察	堅實	堅守	臥室
AHQ	莧	萈	薒	緊急	監獄	臥鋪	臨猗	臨危	
AHR	堅持	監控	緊迫	臨近	緊缺	監製	堅挺	監督製度	緊扣
AHS	緊要	監禁	監督機構	監督權	臨桂	臨西			
AHT	牙	雅	鴉	邪	迓	匪徒	匪徒	監管	監督管理
AHU	邪道	匪首	匪首	堅毅	緊閉	豎立	臨門	監督站	臥病
AHV	工具書								
AHW	藈	某些人	邪念	堅信	緊俏	賢人	臥倒		
AHX	茈	緊張	堅強	緊縮	臨終	豎線	臨穎	䓱	䔝
AHY	某些方面	鑒於	監護	邪說	臨高	賢良	㸦		
AIA	茳	蕖	菃	葓	蘫	茫茫	落幕	菠菜	落葉
AIB	匯聚	堅決取締	堅決防止						
AIC	菭	驚濤駭浪	鑒賞能力						
AID	落成	匯成	堅決克服	黃河故道	基準面				
AIE	菹	莦	萷	薄膜	落腳				
AIF	蔆	落地	蒲城	薄地	蒲圻	落款	匯報	匯款	堅決支持
AIG	薄	萍	蒲	茪	蔳	落到	觀光事業	䓑	
AIH	菠	蔋	蔢	堅決鬥爭	蒲縣				
AII	莎	落水	蓄水池	落潮	蒲江	蕩漾	菏澤	匯演	落淚
AIJ	蕩	蕅	蕰	蘯	落日	落果	歐洲盟國	䓠	䔽
AIK	藻	萍蹤							
AIL	薀	划清界限	歐洲國家	莎車	䕪				
AIM	落网	蒙混過關							
AIN	薄情	落選							
AIO	落座	藻類							
