aaa	工	工艺	葡萄牙	工期	工区	工匠	恭恭敬敬	劳苦功高	花花世界
aab	医药卫生	工薪阶层	工联						
aac	勤劳勇敢								
aad	匿	匞	葚	慝	萁	工厂	工矿	工友	劳苦大众
aae	节节胜利								
aaf	苷	甙	工地	工夫	工运	工场	蓬蓬勃勃		
aag	戒毒	工整	勤劳致富	戒严	工事	䒰			
aah	芽	工具	工龄	茝	茞	菣	蕥	藖	虦
aai	工党	工艺流程	工艺水平	卧薪尝胆	区区小事	落花流水			
aaj	工时	蒸蒸日上	蕴藏量	工日	剗				
aak	戒	工艺品	苏共中央	蓲	蓳	蘜	䕚	䕼	䕿
aal	东欧国家								
aam	蘣	蘳	䔈						
aan	苣	草草收场							
aao	工业	工序	戒烟						
aap	工农	切切实实							
aaq	工贸	匿名	工钱	苉	蔕				
aar	芭蕾舞	熙熙攘攘	戒指	工兵	苦苦探索				
aas	式样	工棚	工本						
aat	荛	工程	莫斯科	工委	工种	工科	工笔	勤劳智慧	戒备
aau	工资	蕴藏着	工艺美术	工装	萌芽状态	欺世盗名	工艺美术品		
aav	勤勤恳恳	苆							
aaw	工作	工人	工会	欧共体	工件	世世代代	勤工俭学	工伤	工段
aax	警戒线	花花绿绿	蒙蒙细雨						
aay	式	工商	工效	工交	工读	匿迹	蒙蒙亮	苦苦哀求	芅
aba	若隐若现								
abc	节能	菆	萾	藂					
abd	节奏	䔺							
abe	荫	蘟							
abf	茸	芓	节支	䔖					
abg	蔯								
abh	邛	卭	节目	匩					
abi	蒸	荪	菡	节省	节水	蒸汽	节油	节流	䒱
abj	节	节日	节电						
abk	警卫员	莻	藬	䓧					
abl	䓝								
abm	茁	䔜	䔴						
abn	芤	蒸发							
abo	节煤								
abq	蒸馏								
abr	艿	菰	蒸气	节制	节拍	节气	节后	㧭	
abt	蕯	㲨	䕖						
abu	萨	节前	茁壮	蘵	䔒	䔹			
abv	匜								
abw	节俭	节余	蒢	䕃					
abx	节约								
aby	芨	节育	巧取豪夺						
aca	茎	茅草	芭蕉	戒骄戒躁	匥	䒪			
acb	芭	节能降耗							
acc	茅台	蔘							
acd	英勇奋斗								
ace	蓪								
acf	英勇献身								
acg	节能型	戎马一生	㦯						
aci	茅台酒	七台河							
ack	苔	葈	䕂						
acl	䓿								
acn	茅	蓣	欺骗性	茅屋	芧	葇	蓩	鶜	䓮
aco	䔍								
acq	功能键								
act	戎马生涯	英勇行为							
acu	英勇斗争	英勇善战							
acw	荾								
acy	芆								
ada	葫芦	巨大贡献	苦苦	基础工程	基础工业	藏医	苦功	藏匿	藏龙卧虎
adb	苊	期限	巨大障碍						
adc	蕻	茇	欺骗	苦难	苃	蕼			
add	基础	基础研究	巨大成就	基石	茂盛	欺压	藏历	英雄有用武之地	雅而不俗
ade	戎	葫	苈	巧克力	巨大力量	藏胞	巨大胜利	䒴	
adf	苦	萘	蓐	基地	若干	期刊	其二	基础教育	苦干
adg	葳	甚至	基于	划不来	其一	基础理论	苦于	英雄事迹	荣辱与共
adh	荐	茬	苤	葜	项目	基础上	期盼	基点	苦战
adi	藉	藕	勘测	期满	巨大潜力	苦涩	勤奋学习	綦江	苦水
adj	若是	巨大影响	苦果						
adk	若	惹	其中	藏品	期中	匲	蠚	逽	鄀
adl	基因								
adm	项	蒇	荋	䓴					
adn	藏	基层	基础性	藏书	苦恼	苦心	藏民	荿	
ado	基数	甚广	基业	世态炎凉					
adp	其它	其实	勘察	茂密	荙				
adq	基金	茂名	蒙古包	欺负	功成名就	项链			
adr	巨大的	勘探	其后	巨大损失	若有所思	若有所失	苦瓜	蒝	䔪
ads	基本	勘查	切不可	英雄模范	斟酌	东奔西走	东奔西跑	功不可灭	䓫
adt	期待	基础科学	基础知识	甚微	藏身	苦笑	功成身退	甚么	䓓
adu	芖	蕨	期间	其次	其间	基准	苦头	欺凌	苦闷
adv	基建	基础建设	莫不如此						
adw	基	其	期	斯	甚	欺	勘	斟	綦
adx	茂	茏	苦练	基线	其母				
ady	莽	基础设施	期望	藏族	巨大变化	欺诈	基调	藏文	基础课
aea	功臣	功劳	苏区	散落					
aeb	菔	莩	苏联	茄子					
aec	功能	萉	薍						
aed	散布	雅加达	莫须有	其貌不扬	蕦				
aee	荔	蒯	功力	功用	荕	萠	蓞		
aef	功夫	菜地	功过	菜场	获胜者	巭			
aeg	苴	散开	莇	萲	藇	䔕			
aeh	散步	落脚点	苚	蓃					
aei	散光	散漫							
aej	薶	﨟							
aek	茄	功勋	苏中						
ael	菜园								
aem	苏丹	虋	䕟						
aen	散发	散居							
aeo	功底								
aep	菜农	苏军	藐视	切肤之痛	蕣	薆			
aeq	功名	萖	葋	蕮					
aer	藐	艻	菜肴	散失	蘨	䔄			
aes	菜	芝加哥	荔枝	苏醒	菜椒				
aet	功	㣉	散	散射	功德	散乱	菜篮	葄	蔿
aeu	藤	菜单	散装	花边新闻	蕂	虅	䕨		
aev	荽								
